Focus,ContentCode,Exemplar,Frequency,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_B_C.Time_Distance.Rate_of_Change.,"For segment BC, the straight line implies elapsed time and distance traveled changed at a [constant rate, *variable rate]; in other words, the car was traveling at [roughly the same speed, *different speeds.]",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_C_D.Distance_Change.Quantified,"For segment CD, distance traveled increased by 50 miles.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_C_D.Distance_Change.Quantified,"For segment DE, distance traveled increased by 30 miles.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_C_D.Time_Change,"For segment CD, elapsed time [increased, *decreased, *stayed the same].",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_C_D.Time_Change.Quantified,"For segment CD, elapsed time increased by one hour.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_C_D.Time_Distance_Change,"For segment CD, [both time and distance changed, *only time changed, *only distance changed].",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_C_D.Time_Distance_Change.Quantified,"For segment CD,  elapsed time increased by one hour (60 minutes) and distance traveled increased by 50 miles.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_C_D.Time_Distance.Rate_of_Change.,"For segment CD, the straight line implies elapsed time and distance traveled increased at a [constant rate, *variable rate]; in other words, the car was traveling at [roughly the same speed, *different speeds.]",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_D_E.Time_Change,"For segment DE, elapsed time [increased, *decreased, *stayed the same].",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_D_E.Time_Change.Quantified,"For segment DE, elapsed time increased by one hour.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_D_E.Time_Distance_Change.Quantified,"For segment DE,  elapsed time increased by one hour and distance traveled increased by 30 miles.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_D_E.Time_Distance.Rate_of_Change.,"For segment DE, the bumpy line implies time and distance increased at a [*constant rate, variable rate]; ; in other words, the car was traveling at [*roughly the same speed, different speeds.]",5,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_E_F.Distance_Change,"For segment EF, distance traveled [increased, *decreased, *stayed the same].",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_E_F.Time_Change,"For segment EF, elapsed time [increased, *decreased, *stayed the same].",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_E_F.Time_Change.Quantified,"For segment EF, elapsed time increased by 30 minutes.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Segment_E_F.Time_Distance.Rate_of_Change.,"For segment EF, the straight line implies elapsed time and distance traveled increased at a [constant rate, *variable rate]; in other words, the car was traveling at [*roughly the same speed, different speeds.]",0,,,,,,,,,,,,,,,,,,,,,,,
DT_Changes,Unspecified,[Content code not specified],8,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,y_Axis.Representation.Units,"The y axis represents [distance traveled in miles, *elapsed time in hours] in increments of 10.",5,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Point_B.Coordinates,"The xy coordinates of point B are (1,50). In other words, after one hour the car has gone 50 miles.",2,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Labeled_Points.Representation,"The labeled points on the distance-time graph represent [both time and distance, *distance only, *time only.]",2,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,x_Axis.Representation.Units,"The x axis represents [*distance traveled in miles, elapsed time in hours] in increments of 30 minutes.",4,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Labeled_Points.Representation.Single_Point,A point on the graph represents a single point in space and time.,1,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Point_C.Coordinates,"The xy coordinates of point C are (1.5,50). In other words after one and a half hours, the car has still only gone fifty miles.",1,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Labeled_Points.Representation.Line_Segment,"A line segment consists of a starting point, an end point, and all the points in between.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,MapGraphRelationship,The graph is a mathematical representation of the journey shown on the map.,1,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Point_A.Coordinates,"The xy coordinates of point A are (0,0). In other words, the car is at the start of the journey.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Point_D.Coordinates,"The xy coordinates of point D are (2.5,100). In other words, after two and a half hours, the car has gone one hundred miles.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Point_E.Coordinates,"The xy coordinates of point E are (3.5,130). In other words, after three and a half hours, the car has gone 130 miles.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Point_F.Coordinates,"The xy coordinates of point F are (4,150). In other words, after four hours, the car has traveled one hundred and fifty miles.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,y_Axis.Location,"The y axis is the [vertical, *horizontal] axis.",0,,,,,,,,,,,,,,,,,,,,,,,
DT_GraphOrientation,Unspecified,[Content code not specified],0,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Thinking,Um,31,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Understanding,Oh...,26,,,,,,,,,,,,,,,,,,,,,,,
Expressive,HighlyPositive,Cool.,33,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Praise,Nice job.,14,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Reassurance,It's okay. No need to apologize.,6,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Apology,Sorry.,5,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Interesting,Interesting,3,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Mistake,Oops!,3,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Question,Mmm?,1,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Thanks,Thank you.,2,,,,,,,,,,,,,,,,,,,,,,,
Expressive,Unspecified,[Content code not specified],0,,,,,,,,,,,,,,,,,,,,,,,
JourneyKnowledge,InstantSpeedChange,"It is [not possible/ *possible) for a driver to change speeds instanteously; it takes [time, *no time] to accelerate or decelerate from one speed to another.",10,,,,,,,,,,,,,,,,,,,,,,,
JourneyKnowledge,CityTraffic,"Traffic is often heavier in and around cities, so drivers cover less distance in the same amount of time.",1,,,,,,,,,,,,,,,,,,,,,,,
JourneyKnowledge,CruiseControl,"Drivers [can,*cannot] maintain a constant speed using cruise control for periods of time; however, drivers must occasionally override speed control to speed up, slow down, or stop.",2,,,,,,,,,,,,,,,,,,,,,,,
JourneyKnowledge,Unspecified,[Content code not specified],2,,,,,,,,,,,,,,,,,,,,,,,
JourneyNarrative,Segment_B_C ,"Between time points B and C, the driver stopped for 30 minutes, possibly in a traffic jam, or parked at a gas station or rest stop. In other words, the car wasn't moving.",44,,,,,,,,,,,,,,,,,,,,,,,
JourneyNarrative,Segment_A_B ,"Between time points A and B, the driver the driver left Providence and drove 50 miles in one hour, averaging 50 mph.",9,,,,,,,,,,,,,,,,,,,,,,,
JourneyNarrative,Segment_C_D ,"Between time points C and D,  drove for an hour and covered  50 miles to the outskirts of NYC, averaging 50 miles an hour.",0,,,,,,,,,,,,,,,,,,,,,,,
JourneyNarrative,Segment_D_E,"Between time points D and E, the driver drove for 30 miles, through New York City, in one hour,  averaging 30 mph, probably in heavier stop-and-go traffic.",0,,,,,,,,,,,,,,,,,,,,,,,
JourneyNarrative,Segment_E_F,"Between time points E and F,  the driver drove the remaining 20 miles in thirty minutes on the NJ Turnpike, averaging 40 miles per hour.",0,,,,,,,,,,,,,,,,,,,,,,,
JourneyNarrative,Unspecified,[Content code not specified],3,,,,,,,,,,,,,,,,,,,,,,,
Map_Graph_Concepts,StraightLineImpliesConstantRate,"The line segments AB, BC, CD, and EF imply constant rate of change because the lines are straight. ",15,,,,,,,,,,,,,,,,,,,,,,,
Map_Graph_Concepts,Reality,"Graphs usually [simplify, *fully model] what happens in the real world.",6,,,,,,,,,,,,,,,,,,,,,,,
Map_Graph_Concepts,Distance_Increase_Implies_Movement,An increase in distance traveled indicates the car is moving.,1,,,,,,,,,,,,,,,,,,,,,,,E
Map_Graph_Concepts,MapCurves,"The roads on the map are curvy, but the lines on the graph are mostly straight.",2,,,,,,,,,,,,,,,,,,,,,,,
Map_Graph_Concepts,Unspecified,[Content code not specified],0,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,TimePoints_B_C.Same_Location,"You can tell time points B and C are located at [the same location,* a different location] because there's no change in distance traveled as time increased by 30 minutes (half an hour).",70,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,TimePoint_C.Location,"On the map, point C is 50 miles away from the journey origin (point A), one-third of the way to the destination, a total of 150 miles from the origin.",29,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,TimePoints _B_C.Explanation,"The y coordinates for time points B and C are both 50, so no change in distance.",13,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,TimePoint_B.Location,"On the map, point B is 50 miles away from the journey origin (point A), one third of the way to the destination, a total of 150 miles.",16,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,TextTool,Use the text tool to label the time points on the map.,6,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,TimePoints _B_C.Miles_from_Origin,"Both points B and C are 50 miles (one-third of the way) from the journey origin (point A), a total of 150 miles.",3,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,TimePoint_A.Location,"On the map, point A marks the [start, *end] of the journey in [Providence, *Newark].",2,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,Using_DT_Graph,The distance time graph can be used to identify the location of the time points on the map and the car's speed during different stages of the journey from Providence to Newark along Interstate 95 and the New Jersey Turnpike.,13,,,,,,,,,,,,,,,,,,,,,,,
MapLabeling,Unspecified,[Content code not specified],9,,,,,,,,,,,,,,,,,,,,,,,
MapOrientation,RoadNames,The route follows Interstate 95 and the New Jersey Turnpike.,2,,,,,,,,,,,,,,,,,,,,,,,
MapOrientation,Route,"The map shows a car journey from Providence south to Newark, passing through New York City.",1,,,,,,,,,,,,,,,,,,,,,,,
MapOrientation,Unspecified,[Content code not specified],0,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Certainty.Negative,People can be uncertain about their beliefs.,28,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Changing_Your_Mind,It's okay to change your mind.,25,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Thinking_Takes_Time,People sometimes need time to think.,17,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Confusion,People can be confused.,12,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Certainty.Positive,People can be certain about their beliefs.,14,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Makes_Sense.Positive,That makes sense.,12,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Makes_Sense.Try,Try to make sense of something.,2,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Certainty?,"People can be [certain, uncertain] about their beliefs.",13,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Makes_Sense.Negative,That doesn't make sense.,6,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Trust_Yourself,Trust your own thinking.,10,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Familiarity,Some things are familiar and some are unfamiliar.,6,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Certainty.Uncertainty_Okay,It's okay to be uncertain.,6,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Learning_Uncomfortable,Thinking hard and learning can make your brain hurt.,5,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Makes_Sense?,Some things make sense and some don't.,2,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Powerful_Thinker,You're a powerful thinker.,5,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Questions_Are_Good,It's good to ask questions. Asking questions is important.,3,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Thinking_Is_Hard_Work,Thinking hard is hard work.,4,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Hard_Question,It's a hard question.,2,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Future,Come across things in the future.,1,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Making_Mistakes,People make mistakes.,4,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Remembering,"People can (remember, have difficulty remembering).",1,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Difficulty_Explaining,People sometimes have trouble explaining things.,1,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Thinking_Independently,People sometimes need to think things through themselves.,1,,,,,,,,,,,,,,,,,,,,,,,
Metacognition,Unspecified,[Content code not specified],28,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_A_B.Speed,During segment AB the driver averaged 50 miles per hour for one hour.,40,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_B_C.Speed,"During Segment BC the car didn't move; in other words, it went ""zero miles per hour"" for half an hour.",19,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_B. Location,"Point B occurs in [more than one place, *only one place] on the speed-time graph. ",9,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,Representation ,The vertical lines on the speed time graph represent the driver's average speed from one time point to the next.,12,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,Representation.Line_Segments,"On the speed-time graph, the journey phases are represented by [*horizontal, vertical] lines.",8,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_B.Coordinates,"On the speed-time graph, as part of AB, the coordinates of point B are (50,1), and as part of BC, the coordinates of point B are (0,1).",9,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_A_B.Coordinates,"On the speed-time graph, segment AB is a vertical line where the coordinates of A are (50,0) and the coordinates of B are (50,1). This shows that, for the first hour  the driver averaged 50 miles per hour.",20,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_B.AverageSpeed,"On the speed-time graph, as part of AB, the driver's speed at point B is 50 mph, and as part of BC, the speed at point B is 0 mph.  ",6,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_C_D.Speed,During Segment CD the driver averaged 50 miles per hour for one hour.,7,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_A.Location,"Point A occurs on a [vertical, *horizontal] line segment on the speed-time graph. ",1,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_B_C.Coordinates,"On the speed-time graph, segment BC is a vertical line where the coordinates of B are (0,1) and the coordinates of C are (0,1.5). This shows that the car stopped for thirty minutes; in other words, the car was going 0 miles per hour.",9,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_A_B.Time,"On the speed-time graph, segment AB represents the first hour of the trip, from 0 to 1 hour, during which the driver averaged 50 miles per hour.",8,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_B_C.Time,"Segment BC is from 1 to 1.5 hours; in other words, elapsed time increased by 30 minutes.",3,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_A.Coordinates,"On the speed-time graph, for point A, the coordinates  are (50,0). It occurs in [one place, *more than one place] on the graph. This shows that the car started off going 50 miles per hour.",14,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_C. Location,"Point C occurs in [more than one place, *only one place] on the speed-time graph. ",2,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_AB_MPH.Point_B. Coordinates,"On the speed-time graph, as part of AB, the coordinates of point B are (50,1). This shows that the car is going 50 miles an hour after one hour.",2,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_B_C.Representation,Segment BC represents the driver's average speed from point B to point C.,2,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_C_D.Time,"Segment CD  is from 1.5 hours to 2.5 hours; in other words, elapled time increased for one hour.",2,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,Representation.Gradual_Speed_Change,"The speed time graph is [incapable, *capable] of representing gradual changes in speed. Instead, it implies instant changes in speed.",2,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_A_B.Representation,Segment AB represents the driver's average speed from timepoint A to timepoint B during the first hour of the trip.,2,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_C_D.Coordinates,"On the speed-time graph, for Segment CD is a vertcal line where coordinates of C are (50,1.5) and the coordinates of D are (50,2.5). This shows that the driver averaged 50 miles per hour for one hour.",4,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_D. Location,"Point D occurs in [more than one place, *only one place] on the speed-time graph. ",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_E. Location,"Point E occurs in [more than one place, *only one place] on the speed-time graph. ",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Point_E. Location,"Point F  occurs in [only one place, *more than one place] on the speed-time graph. ",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_BC_MPH.Point_C. Coordinates,"On the speed-time graph, as part of BC, the coordinates of point C are (0,1.5). That means the car is going 0 miles an hour after one and a half hours.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_BC.MPH.Point_B. Coordinates,"On the speed-time graph, as part of BC, the coordinates of point B are (0,1). That means the car is going 0 miles an hour.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_C_D.Representation,Segment CD represents the driver's average speed from point C to point D.[as time increases from 1.5 hours to 2.5 hours],0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_CD_MPH.Point_D. Coordinates,"On the speed-time graph, as part of CD, the coordinates of point D are (50,2.5).",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_CD.MPH.Point_C. Coordinates,"On the speed-time graph, as part of CD, the coordinates of point C are (50,1.5). That means the car is going 50 miles per hour after one and a half hours.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_D_E_MPH.Point_E. Coordinates,"On the speed-time graph, as part of DE, the coordinates of point E are (30,3.5). That means the car is going 30 miles an hour after three and a half hours.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_D_E.Coordinates,"On the speed-time graph, Segment DE is a vertical line where the coordinates of D are (30,2.5) and the coordinates of E are (30,3.5). This shows that the driver drove through NYC for one hour at an average of 30 miles per hour. ",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_D_E.Speed,During Segment DE the driver averaged 30 miles per hour.,0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_D_E.Time,Segment DE  is from 2.5 hours to 3.5 hours.,0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_DE.MPH.Point_D. Coordinates,"On the speed-time graph, as part of DE , the coordinates of point D are (30,2.5).",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_E_F.Coordinates,"On the speed-time graph, Segment EF is a vertical line where the coordinates of  E are (40,3.5) and the coordinates of F are (40,4). This shows that the driver drove for 30 minutes at an average speed of 40 miles per hour.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_E_F.MPH.Point_E. Coordinates,"On the speed-time graph, as part of EF, the coordinates of point E are (40,3.5). That means the car is going 40 miles per hour after three and a half hours.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_E_F.MPH.Point_F. Coordinates,"As part of EF, the coordinates of point F are (40,4) on the speed-time graph. That means the car was going 40 miles an hour after four hours.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_E_F.Representation,Segment EF represents the driver's average speed from point E to point F.,0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_E_F.Speed,During Segment EF the driver averaged 40 miles per hour.,0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_E_F.Time,Segment EF is from 3.5 hours to 4 hours.,0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,Representation.xAxis,"On the speed-time graph, speed in miles per hour is on the x axis.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,Representation.yAxis,"On the speed-time graph, time in hours is on the y axis.",0,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,MPH.Segment_D_E.Representation,Segment DE represents the driver's average speed from point D to point E.,,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,OriginConfusion,Not all graphs start at the origin.,,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,Unspecified,[Content code not specified],14,,,,,,,,,,,,,,,,,,,,,,,
MPH_Graph,Representation.Point_A,"At timepoint A, the car is traveling at [*0 miles per hour, *50 miles per hour, both 0 and 50 miles per hour.] In other words, the graph shows that the car accelerated instantly from 0 to 50 miles per hour.",,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Representation.Point_B,"At timepoint B, the car is traveling at [*50 miles per hour, *0 miles per hour, both 50 and 0 miles per hour.] In other words, graph shows the car decelerated instantly from 50 miles per hour to 0 miles per hour.",23,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Representation.General,"In a piecewise graph, the same point [can, *cannot] occur in more than one place on the graph.",9,,,,,,,,,,,,,,,,,,,,,,,
PiecewiseGraph,Definition,"Graphs in which line segments are disconnected points are represented by open and closed circles are called ""piecewise graphs.""",10,,,,,,,,,,,,,,,,,,,,,,,
